Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.84, 0.07, 12.5, 80, 80, 0
Numerical Parameters: NX, NY, ts, delta = 241, 241, 0.5, 0.0001 
File written: Tue Sep 26 23:51:22 2023
Comments: 2D 





Ascii values of u and v follow
0.000172069 0.149489
0.000185595 0.145284
0.000229229 0.133451
0.000314232 0.116963
0.000469065 0.0997426
0.000764039 0.0840662
0.00137051 0.0704959
0.00269709 0.0590069
0.00569674 0.0494532
0.0125402 0.0416055
0.0280074 0.0351533
0.0619583 0.0297857
0.13195 0.0252707
0.259313 0.0214535
0.444691 0.0201231
0.638526 0.0503274
0.783483 0.128499
0.871473 0.23089
0.920452 0.333843
0.947022 0.427063
0.960823 0.508101
0.966132 0.57738
0.963366 0.636066
0.949288 0.685192
0.916279 0.724889
0.852263 0.752945
0.745567 0.762961
0.59846 0.746332
0.436868 0.702921
0.29408 0.649045
0.187227 0.601542
0.115925 0.56148
0.0714049 0.527849
0.0444141 0.499795
0.0281403 0.476549
0.0182434 0.457392
0.0121257 0.441547
0.00826834 0.428127
0.00578609 0.41605
0.00415921 0.404035
0.00307817 0.390716
0.00235527 0.374779
0.00187463 0.355195
0.00156384 0.331432
0.00137802 0.303776
0.00129136 0.273585
0.00129413 0.242955
0.00139412 0.213804
0.00162139 0.187197
0.00203585 0.163455
0.00273717 0.142565
0.00387649 0.124457
0.00566856 0.10912
0.00840221 0.096608
0.0124465 0.0870209
0.0182494 0.0805151
0.0263271 0.0774308
0.0372468 0.0783811
0.051619 0.0842045
0.070124 0.0957627
0.0935869 0.113625
0.123054 0.138206
0.159801 0.1703
0.205276 0.211644
0.261072 0.265391
0.329199 0.336632
0.412876 0.42757
0.515556 0.520291
0.632213 0.585389
0.742878 0.600254
0.82334 0.563214
0.862475 0.486414
0.860991 0.381954
0.817881 0.261436
0.722537 0.146186
0.564215 0.0727483
0.367959 0.0608824
0.200718 0.0713672
0.0963774 0.0831473
0.0428742 0.0961245
0.0182906 0.110257
0.00766533 0.12549
0.00324019 0.141753
0.00144041 0.158923
0.000716525 0.176716
0.000423381 0.194421
0.000301472 0.21045
0.0002502 0.222315
0.000232332 0.227622
0.000235155 0.225192
0.000255578 0.215193
0.00029535 0.199135
0.000361775 0.179456
0.000474563 0.158463
0.000684584 0.137754
0.00111929 0.118301
0.00208876 0.10066
0.00432734 0.08511
0.00953011 0.0717293
0.021488 0.0604304
0.0482342 0.0510005
0.104947 0.0431681
0.2133 0.0366643
0.384164 0.0314439
0.58307 0.0465903
0.745752 0.11104
0.849286 0.208424
0.907924 0.311619
0.939978 0.406538
0.957187 0.489115
0.965607 0.559333
0.967836 0.618375
0.964469 0.667609
0.954942 0.708219
0.938201 0.741068
0.91345 0.766664
0.881036 0.785283
0.843213 0.797323
0.804307 0.803733
0.769944 0.806206
0.745637 0.806852
0.735399 0.807494
0.740902 0.808984
0.76118 0.810888
0.792797 0.811624
0.830524 0.809041
0.868616 0.801166
0.902302 0.786685
0.928777 0.764916
0.947256 0.735405
0.958305 0.697523
0.962936 0.650261
0.961807 0.592217
0.954542 0.521737
0.938919 0.437277
0.909523 0.338418
0.85556 0.228645
0.759339 0.121512
